PC,USER,Username,DATE,ReportDATE,PCLocation,Empl_Mailadresse
PC1090,lhunt,Leo Hunt,2024/09/01 8:50,2024/09/04 11:55:40,Sandefjord,leo.hunt@contoso.com
PCL1091,lpark,Leo Park,2024/09/02 9:51,2024/09/05 12:56:41,Stavanger,leo.park@contoso.com
PCL1092,lzieg,Leo Zieg,2024/09/03 10:52,2024/09/06 13:57:42,Oslo,leo.zieg@contoso.com
PC1093,lblack,Leo Black,2024/09/04 8:53,2024/09/07 14:58:43,Bergen,leo.black@contoso.com
PCL1094,llane,Leo Lane,2024/09/05 9:54,2024/09/08 15:59:44,Trondheim,leo.lane@contoso.com
PCL1095,ljensen,Leo Jensen,2024/09/06 10:55,2024/09/09 16:00:45,Kristiansand,leo.jensen@contoso.com
PC1096,lmoore,Leo Moore,2024/09/07 8:56,2024/09/10 11:01:46,Sandefjord,leo.moore@contoso.com
PCL1097,lkoivu,Leo Koivu,2024/09/08 9:57,2024/09/11 12:02:47,Stavanger,leo.koivu@contoso.com
PCL1098,lwhite,Leo White,2024/09/09 10:58,2024/09/12 13:03:48,Oslo,leo.white@contoso.com
PC1099,lmunch,Leo Munch,2024/09/10 8:59,2024/09/13 14:04:49,Bergen,leo.munch@contoso.com
